Area,Production,Rainfall,Season,Temperature,Crop,Nitrogen(kg/ha),ElectricalConductivity(ds/m),pH
28625.0,1784483.0,143.636,Kharif,28.29966666666667,Sugarcane,328.0,1.5,5.4
138347.0,258707.0,8.578999999999999,Rabi,20.5355,Wheat,224.0,1.8,6.5
610.0,3547.0,56.61,Rabi,23.53475,Onion,318.0,4.6,6.0
200.0,300.0,223.2555,Summer,30.27225,Maize,229.0,3.2,6.7
33000.0,23100.0,127.5656666666667,Kharif,26.343000000000004,Moong(Green Gram),479.0,3.9,7.2
7700.0,3500.0,71.837,Kharif,29.35433333333333,Urad,368.0,3.0,7.5
7425.0,3438.0,159.93233333333333,Kharif,28.10733333333333,Arhar/Tur,279.0,3.7,5.4
4842.0,4019.0,132.89600000000002,Kharif,28.84666666666667,Arhar/Tur,358.0,3.9,5.2
842.0,1880.0,127.488,Summer,26.2845,Maize,448.0,4.0,6.9
4500.0,700.0,139.0453333333333,Kharif,26.061,Sesamum,397.0,1.3,6.6
84.0,1895.0,18.5855,Rabi,20.58425,Onion,225.0,2.9,6.4
22276.0,49809.0,77.87566666666667,Kharif,28.67,Rice,310.0,3.5,5.1
213.0,217.0,148.1115656426826,Whole Year,27.18932774020223,Dry chillies,396.0,1.4,5.2
1200.0,200.0,28.41175,Rabi,23.89325,Rapeseed &Mustard,468.0,3.8,6.9
35.0,613.0,51.5255,Rabi,25.116,Onion,470.0,2.2,6.5
1392.0,888.0,23.859,Rabi,21.21025,Rapeseed &Mustard,252.0,4.4,5.2
119.0,733.0,183.7835,Summer,24.69825,Onion,424.0,2.1,5.1
155.0,3608.0,282.662288435571,Whole Year,26.37598350694445,Sugarcane,441.0,3.3,5.7
99.0,199.0,55.92333333333334,Kharif,27.175,Maize,262.0,3.8,6.7
140.0,80.0,152.313,Kharif,28.537,Urad,489.0,5.6,7.1
6479.0,117417.0,15.693,Rabi,20.724,Potato,228.0,1.1,7.1
7800.0,8200.0,203.8573333333333,Kharif,21.388,Maize,278.0,4.5,7.1
1556.0,1352.0,170.12,Kharif,28.34,Arhar/Tur,235.0,2.8,7.4
49.0,76.0,180.5836556712963,Whole Year,25.196951388888888,Onion,475.0,4.6,6.3
25481.0,14091.0,118.0556666666667,Kharif,29.28533333333333,Urad,448.0,3.9,5.4
4125.0,200013.0,89.83299999999998,Whole Year,26.15958333333333,Sugarcane,470.0,3.9,7.1
373.0,437.0,110.8565,Autumn,23.266,Maize,424.0,2.1,7.2
480.0,1505.0,385.65775,Summer,27.39475,Rice,262.0,4.8,6.9
292.0,2140.0,196.29926041666667,Whole Year,26.63469791666667,Onion,314.0,3.2,6.0
148.97,1383.0,25.67725,Winter,20.4015,Potato,206.0,4.9,6.2
1.0,2.0,224.52475,Summer,30.6515,Rice,210.0,5.6,6.3
87461.0,133000.0,5.3825,Rabi,19.73175,Rapeseed &Mustard,428.0,4.8,6.6
1132.0,104.1,46.691,Autumn,23.4695,Sesamum,223.0,2.3,6.6
159.0,513.0,227.79010928922955,Whole Year,24.98449214670485,Onion,386.0,1.9,5.5
45600.0,39400.0,25.34425,Rabi,20.6775,Gram,411.0,5.6,5.3
215.0,2143.0,97.48861958587406,Whole Year,27.150009240845648,Onion,319.0,4.5,7.1
1000.0,2500.0,36.403,Rabi,24.4575,Maize,382.0,3.8,7.4
269.0,161.0,324.511,Kharif,27.30366666666667,Maize,264.0,3.7,7.4
4000.0,12000.0,92.89,Rabi,25.372,Dry chillies,485.0,1.8,5.9
1539.0,1781.0,152.08325,Summer,29.1685,Groundnut,291.0,3.4,6.3
125.0,2859.0,17.06925,Rabi,20.75725,Onion,400.0,5.1,6.1
479.0,251.0,22.81525,Rabi,18.88325,Moong(Green Gram),258.0,5.0,5.9
78430.0,46325.0,33.57233333333334,Kharif,27.13066666666667,Rice,473.0,2.4,5.2
5376.0,2546.0,26.23266666666666,Kharif,29.192,Sesamum,418.0,2.0,6.0
2.0,4.0,241.34233333333336,Kharif,20.309333333333328,Onion,309.0,2.1,7.2
1132.0,9152.0,68.26914120370371,Whole Year,28.830006944444452,Potato,418.0,2.3,5.3
55.0,41.0,165.47033333333331,Kharif,26.75433333333334,Groundnut,221.0,1.3,5.4
705.0,516.0,244.4573333333334,Kharif,28.63333333333334,Urad,209.0,2.3,6.4
15298.0,21589.0,224.37366666666668,Kharif,27.91333333333333,Maize,285.0,1.7,5.6
108955.0,104539.0,3.86775,Rabi,19.4,Gram,376.0,4.4,6.0
14082.0,13440.0,5.78875,Rabi,11.27525,Wheat,234.0,1.9,6.2
6440.0,153164.0,61.46684027777778,Whole Year,27.75907638888889,Potato,416.0,3.8,5.7
6000.0,6300.0,198.8945,Summer,27.219,Groundnut,249.0,5.4,5.8
5241.0,162258.0,26.93625,Rabi,23.58675,Onion,487.0,1.5,7.0
925.0,1721.0,224.418,Kharif,26.98266666666667,Maize,256.0,4.9,6.2
107.0,30.8,228.35325,Summer,27.40525,Sesamum,343.0,4.4,5.2
629.0,1268.0,124.456,Kharif,26.463,Maize,480.0,3.8,7.1
37501.0,69047.0,108.00025,Autumn,24.74575,Rice,425.0,5.1,6.4
341765.0,1139960.0,9.74925,Rabi,20.141,Wheat,334.0,2.7,6.3
10.0,62.0,93.25400000000002,Kharif,25.678,Rice,238.0,4.5,7.2
430.0,68.0,19.97825,Rabi,22.87125,Rapeseed &Mustard,439.0,2.5,5.8
28.0,11.0,159.0173333333333,Kharif,28.10266666666666,Moong(Green Gram),364.0,1.3,5.5
54400.0,38700.0,49.85675000000001,Rabi,24.09025,Gram,270.0,1.5,5.2
303.0,20264.0,122.63089905087459,Whole Year,28.24257112785504,Sugarcane,475.0,2.4,5.8
400.0,827.0,373.247,Summer,25.116,Jowar,279.0,1.9,7.1
2600.0,4400.0,61.87600000000001,Kharif,28.213,Jowar,446.0,3.8,5.7
8678.0,14402.0,71.0523733603395,Whole Year,28.562446855709876,Dry chillies,392.0,1.6,6.9
959.0,660.0,334.345,Kharif,24.35533333333333,Arhar/Tur,396.0,3.3,6.2
150.0,110.0,30.745,Rabi,18.5485,Gram,210.0,5.5,6.8
1352.0,911.0,182.17766666666668,Kharif,27.61866666666667,Arhar/Tur,274.0,4.2,7.4
3.0,8.0,129.283,Summer,27.77775,Maize,268.0,5.2,6.7
271.0,958.0,243.0,Kharif,28.76666666666667,Maize,404.0,1.7,7.3
4191.0,47098.0,92.02666666666666,Kharif,27.153,Maize,396.0,2.3,7.0
173.0,1179.2,3.5445,Winter,21.82925,Potato,269.0,1.6,6.7
4530.0,458083.0,85.81127396873192,Whole Year,30.75510338445663,Sugarcane,383.0,3.0,6.2
15.0,32.0,146.465,Rabi,24.78625,Maize,334.0,3.6,5.6
418.0,340.0,232.6401479049302,Whole Year,23.663855703911423,Dry chillies,362.0,1.3,5.1
76.0,1748.0,3.22775,Rabi,21.632,Onion,368.0,3.3,7.2
162.0,1448.0,102.36966594328699,Whole Year,28.7991490162037,Onion,246.0,1.6,6.5
11834.0,8331.0,108.4373333333333,Kharif,29.00433333333334,Moong(Green Gram),332.0,5.5,5.0
679.0,517.0,170.99599999999995,Kharif,25.06566666666667,Groundnut,461.0,3.5,7.3
200.0,200.0,52.292478314919975,Whole Year,29.986380702540306,Dry chillies,306.0,2.4,5.2
23.0,20.0,75.5005,Summer,25.046,Dry chillies,278.0,5.5,6.7
51.0,2452.0,85.62028472222222,Whole Year,27.02213194444445,Sugarcane,395.0,4.8,6.9
12200.0,9300.0,55.73349999999999,Rabi,24.771,Groundnut,497.0,4.3,6.4
5.0,2.7,208.6875,Summer,29.241,Moong(Green Gram),372.0,4.0,6.2
104.0,45.0,52.0215,Rabi,18.2845,Gram,438.0,1.1,6.7
25281.0,7003.0,178.58599999999996,Kharif,28.00533333333334,Moong(Green Gram),249.0,3.1,6.2
106000.0,421000.0,36.421,Kharif,29.61866666666667,Rice,350.0,1.1,5.6
1917.0,3278.0,147.32233333333332,Kharif,24.78366666666667,Dry chillies,477.0,2.9,6.7
33471.0,11609.0,40.00525,Rabi,19.55325,Rapeseed &Mustard,397.0,4.3,7.0
5217.0,4867.0,34.87875,Rabi,20.6955,Gram,298.0,1.7,5.1
69859.0,133513.0,12.88175,Winter,19.739,Rice,292.0,2.1,6.4
7358.0,8947.0,6.7620000000000005,Rabi,20.54375,Gram,407.0,3.4,7.2
99780.0,390622.0,4.556,Winter,20.59475,Rice,219.0,4.2,5.2
2000.0,600.0,36.673333333333346,Kharif,24.442,Moong(Green Gram),283.0,3.0,6.5
7492.0,6327.0,33.21925,Rabi,23.08025,Gram,344.0,2.2,5.8
102240.0,314455.0,189.537,Kharif,27.34800000000001,Rice,484.0,2.8,7.0
22728.0,4787.0,191.062,Kharif,26.21033333333333,Urad,272.0,2.4,7.2
5740.0,2040.0,188.54466666666667,Kharif,25.60133333333333,Arhar/Tur,325.0,2.8,7.1
50.0,47.0,87.99690682062644,Whole Year,29.8010732485609,Onion,224.0,3.1,6.0
1268.0,1298.0,107.1006666666667,Kharif,29.39133333333333,Arhar/Tur,493.0,3.5,7.1
1830.0,954.0,236.3133333333334,Kharif,24.10266666666666,Arhar/Tur,321.0,1.2,5.1
78658.0,206477.0,220.361,Kharif,26.05566666666667,Rice,225.0,1.8,5.5
29007.0,45157.0,32.3075,Autumn,25.6785,Rice,331.0,1.2,6.7
401.0,424.0,124.778,Kharif,26.54266666666667,Groundnut,343.0,2.2,6.3
2864.0,1096.0,89.22699999999998,Rabi,23.7075,Urad,460.0,4.0,5.5
34012.0,19205.0,53.12125,Rabi,23.7725,Gram,315.0,1.5,6.2
102.0,44.0,150.53266666666667,Kharif,28.54633333333333,Moong(Green Gram),334.0,2.8,5.0
6442.0,7614.0,14.34725,Rabi,18.821,Gram,316.0,4.4,5.7
53.0,141.0,202.99325,Summer,24.36475,Dry chillies,241.0,2.4,6.9
84057.0,302000.0,12.68925,Rabi,19.49575,Wheat,465.0,1.4,6.4
22700.0,11500.0,229.2276666666667,Kharif,25.56433333333333,Arhar/Tur,349.0,4.0,5.7
86295.0,98633.0,1.898,Rabi,21.49625,Rapeseed &Mustard,437.0,2.3,6.8
369.0,277.0,248.6842983099473,Whole Year,23.99722136324459,Dry chillies,260.0,2.2,7.1
42815.0,7443.0,113.4473333333333,Kharif,24.943,Arhar/Tur,477.0,2.5,5.6
410.0,490.0,311.1693333333333,Kharif,21.49033333333334,Arhar/Tur,435.0,3.6,5.3
2790.0,2780.0,35.414,Rabi,19.35425,Gram,362.0,2.7,5.5
8624.0,729.0,108.7493333333334,Kharif,24.53533333333333,Moong(Green Gram),343.0,2.0,5.0
56.0,50.0,1.515,Rabi,23.65875,Rapeseed &Mustard,492.0,4.7,5.3
307.0,254.0,5.78525,Rabi,21.1105,Gram,428.0,3.6,5.3
3611.0,748.0,277.957,Kharif,25.31366666666667,Sesamum,435.0,4.4,5.0
17278.0,19868.0,40.21400000000001,Rabi,20.091,Wheat,277.0,4.1,7.3
6000.0,10804.0,164.72099999999998,Autumn,23.518,Rice,359.0,2.6,7.5
100.0,5000.0,50.412558728069676,Whole Year,29.307237825607352,Sugarcane,356.0,2.0,7.3
83245.0,88822.0,18.55975,Rabi,21.257,Wheat,204.0,2.8,6.1
89033.0,228993.0,16.39275,Rabi,20.83475,Wheat,286.0,1.1,5.7
346.0,2448.0,66.94507465277778,Whole Year,28.28849594907408,Onion,207.0,5.6,5.9
281.0,2749.3,130.7450694394768,Whole Year,27.991335432166856,Onion,500.0,4.5,6.7
15706.0,32161.0,244.92125,Summer,28.613000000000003,Rice,481.0,2.9,5.7
561.0,325.0,174.1325,Summer,29.742,Moong(Green Gram),402.0,1.2,6.1
72237.0,93156.0,244.3873333333333,Kharif,25.457,Rice,456.0,3.7,6.4
4406.0,2692.0,187.00425,Summer,30.234,Moong(Green Gram),378.0,1.3,7.5
2436.0,268.0,8.588000000000001,Winter,22.9135,Sesamum,290.0,3.9,6.5
3125.0,1275.0,106.9646666666667,Kharif,27.84933333333333,Moong(Green Gram),353.0,4.0,7.3
9000.0,3700.0,229.2276666666667,Kharif,25.56433333333333,Urad,464.0,3.7,5.1
25276.0,34022.0,17.13075,Rabi,18.57425,Wheat,210.0,2.4,7.3
8700.0,7300.0,0.69375,Rabi,23.81425,Gram,480.0,5.3,5.3
92.0,3598.0,173.54138286780818,Whole Year,27.292804290785252,Sugarcane,344.0,2.4,7.3
1151.0,2650.0,20.30825,Rabi,20.58625,Maize,245.0,5.6,6.2
75.0,96.0,201.874,Kharif,25.76333333333334,Jowar,457.0,1.8,6.7
37128.0,82944.0,140.2953333333333,Kharif,28.266,Rice,267.0,1.1,7.1
154.0,59.0,70.08200000000001,Rabi,24.26,Urad,286.0,4.1,6.9
148895.0,318040.0,117.1063333333333,Kharif,29.28766666666667,Rice,393.0,1.7,6.0
82099.0,339203.0,297.931,Kharif,24.71233333333333,Rice,386.0,5.6,5.3
60.0,6.2,35.79875,Winter,23.51275,Sesamum,325.0,1.6,7.0
5437.0,2789.0,111.2386666666667,Kharif,27.737,Sesamum,452.0,3.4,5.2
57.0,17.0,135.787,Kharif,28.31900000000001,Moong(Green Gram),417.0,1.3,6.6
351.0,7244.0,60.0325,Rabi,23.318,Onion,498.0,3.8,5.9
120400.0,8751000.0,66.92919039351852,Whole Year,23.5585769675926,Sugarcane,274.0,4.2,7.4
20899.0,22770.0,73.00408333333333,Whole Year,27.68366666666667,Rice,487.0,4.7,5.9
8054.0,21335.0,74.40666666666667,Kharif,28.91533333333334,Maize,249.0,5.7,6.8
23000.0,76000.0,82.14399999999998,Kharif,28.86833333333333,Maize,291.0,4.8,6.5
19775.0,31573.0,96.16120466670289,Whole Year,27.43501266028936,Rice,423.0,3.9,6.8
4266.0,5861.0,67.60199999999999,Rabi,22.735,Groundnut,452.0,3.7,7.2
391.0,77012.30591908224,2.977,Rabi,18.752,Gram,432.0,1.3,7.1
1800.0,3300.0,224.00475,Summer,28.02375,Groundnut,314.0,5.5,6.3
8.0,4.0,79.76100000000002,Rabi,20.207,Moong(Green Gram),412.0,3.6,6.4
9900.0,10400.0,211.0353333333333,Kharif,25.455,Groundnut,500.0,3.5,5.8
135.0,83.0,14.803,Rabi,20.43975,Gram,346.0,4.9,6.1
1334.0,2883.0,155.039,Kharif,26.04933333333333,Maize,381.0,1.8,7.0
453.0,82.0,225.94333333333333,Kharif,26.92333333333333,Sesamum,273.0,3.8,7.0
154.0,110.0,113.6257859278549,Whole Year,12.571351128472221,Onion,290.0,4.1,5.9
